mask wearing,public events,border closure,schools + universities,self-isolation if ill,lockdown,social distancing encouraged
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,1
0,0,1,0,1,0,1
0,0,1,0,1,0,1
0,0,1,0,1,0,1
0,0,1,1,1,0,1
0,0,1,1,1,0,1
0,0,1,1,1,0,1
0,0,1,1,1,0,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,1,1
0,1,1,1,1,0,1
0,1,1,1,1,0,1
0,1,1,1,1,0,1
0,1,1,1,1,0,1
0,1,1,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,1,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
0,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0,0.170860594475,1,0,1
1,1,0.0052646197882,0.170860594475,1,0.0052646197882,1
1,1,0.0052646197882,0.170860594475,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
1,1,0.0052646197882,0.0912551724211,1,0.0052646197882,1
